Идентификатор,Наименование,Адрес,Налоги (2019 г.),Налоги (2020 г.),Налоги (2021 г.),Налоги (2022 г.),Налоги (Всего)
259110,Кафе Плов Хаус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Люблинская улица, дом 165, корпус 3",781647.0,778240.0,787289.0,690317.0,3037493.0
360850,"Пекарня, шашлыки","Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, улица Мусы Джалиля, дом 15, строение 2",743416.0,708866.0,782963.0,719909.0,2955154.0
238923,Мята,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Шереметьевская улица, дом 20",740341.0,762886.0,666885.0,760670.0,2930782.0
293423,Буханка,"город Москва, улица Полины Осипенко, дом 10, корпус 1",728116.0,758394.0,690844.0,734469.0,2911823.0
205809,SeDelice Французская пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, проспект 60-летия Октября, дом 18, корпус 1",790908.0,728516.0,632571.0,732026.0,2884021.0
326049,Кебаб Хаус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Мещерский проспект, дом 22, строение 1",773919.0,692267.0,746153.0,652210.0,2864549.0
348665,2Bro,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, Планерная улица, дом 7",792857.0,531143.0,790359.0,682982.0,2797341.0
288923,Кальян-бар Otrada Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, Алтуфьевское шоссе, дом 28",538933.0,689504.0,798771.0,755940.0,2783148.0
303983,Жалал Абад,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Семёновская площадь, дом 7, корпус 17",783555.0,618359.0,680750.0,680120.0,2762784.0
298149,Munterra,"город Москва, Большой Харитоньевский переулок, дом 25",498451.0,758751.0,710255.0,780775.0,2748232.0
