Name;StationCapacity;Location
Пункт проката велосипедов № 209;54;ст. м. Спортивная (выход №1)
Пункт проката велосипедов № 100;51;Зубовский б-р, д.5, стр.1 (ст. м. Парк Культуры)
Пункт проката велосипедов № 466;48;Продольный пр. (у главного входа ВДНХ)
Пункт проката велосипедов № 700;48;пр-т Мира, д.119, стр.23 (у Москвариума)
Пункт проката велосипедов № 102;45;Зубовская пл., д.3, стр.1
Пункт проката велосипедов № 210;45;Лужнецкая наб. (пересеч. с Новолужнецким пр.)
Пункт проката велосипедов № 464;45;ул. Ботаническая, д.4, стр.6
Пункт проката велосипедов № 157;44;ул. Крымский Вал, д.9, стр.1 (напротив входа в Парк Горького)
Пункт проката велосипедов № 271;40;ул. Мытная, д.74
Пункт проката велосипедов № 104;39;Смоленский б-р, д.22/14
Пункт проката велосипедов № 351;39;ул. Дмитрия Ульянова, д.22, к.1 (ст. м. Академическая)
Пункт проката велосипедов № 211;36;ст. м. Воробьёвы горы (Лужники)
Пункт проката велосипедов № 243;36;Бережковская наб., д.20, стр.19
Пункт проката велосипедов № 323;36;ст. м. Ленинский проспект (южный вестибюль)
Пункт проката велосипедов № 352;36;ул. Академика Хохлова (у входа в ГЗ МГУ)
Пункт проката велосипедов № 453;36;ст. м. Владыкино
Пункт проката велосипедов № 56;36;Берсеневская наб., д.20/2
Пункт проката велосипедов № 710;36;ст. м. Отрадное (выход №2)
Пункт проката велосипедов № 250;35;Пресненская наб., д.6, стр.2 (Москва-Сити, башня Империя)
Пункт проката велосипедов № 212;34;Хамовнический Вал, д.40, стр.1
Пункт проката велосипедов № 231;33;пл. Тверская Застава, д.7
Пункт проката велосипедов № 240;33;Смоленская наб., д.2
Пункт проката велосипедов № 259;33;Саввинская наб., д.9
Пункт проката велосипедов № 360;33;пл. Джавахарлала Неру, д.1 (ст. м. Университет, выход №2)
Пункт проката велосипедов № 718;33;2-я Миусская ул., д.20, стр.3
Пункт проката велосипедов № 201;32;Фрунзенская наб. (пересеч. с 1-ой Фрунзенской ул.)
Пункт проката велосипедов № 207;32;Фрунзенская наб., д.54 (пересеч. с ул. Хамовнический Вал)
Пункт проката велосипедов № 483;32;Комсомольская пл., д.5
Пункт проката велосипедов № 122;30;Цветной б-р., д.34, стр.1
Пункт проката велосипедов № 150;30;ул. Валовая, д.20
Пункт проката велосипедов № 158;30;ул. Крымский Вал, д.3 (ст. м. Октябрьская)
Пункт проката велосипедов № 241;30;ст. м. Краснопресненская
Пункт проката велосипедов № 433;30;пр-т Мира, д.92, стр.2 (ст. м. Рижская)
Пункт проката велосипедов № 465;30;1-я Останкинская ул., д.1
Пункт проката велосипедов № 488;30;ул. Русаковская, д.26
Пункт проката велосипедов № 502;30;3-я Песчаная ул., д.2А, стр.2
Пункт проката велосипедов № 59;30;ул. Большая Якиманка, д.16 (ст. м. Октябрьская (радиальная))
Пункт проката велосипедов № 7;30;Газетный пер., д.6
Пункт проката велосипедов № 728;30;пр-т Андропова, д.1 (ст. м. Технопарк, выход №8)
Пункт проката велосипедов № 776;30;Московский, ул. Радужная, д.1
Пункт проката велосипедов № 844;30;ул. Инженерная, д.1
Пункт проката велосипедов № 22;27;Кремлёвская наб., д.1
Пункт проката велосипедов № 224;27;Краснопресненская наб., д.14, стр.1
Пункт проката велосипедов № 226;27;Краснопресненская наб., д.10, стр.5
Пункт проката велосипедов № 23;27;Москворецкая наб. (Китайгородский пр., д.9, стр.2)
Пункт проката велосипедов № 41;27;Славянская площадь (напротив д.2)
Пункт проката велосипедов № 69;27;Якиманская наб., д.2
Пункт проката велосипедов № 82;27;Болотная пл. (напротив к/т Ударник)
Пункт проката велосипедов № 217;25;ул. Усачева, д.2, стр.1
Пункт проката велосипедов № 125;24;Большая Сухаревская пл., д.2 (ст. м. Сухаревская)
Пункт проката велосипедов № 130;24;Хоромный туп, д.2/6 (ст. м. Красные Ворота)
Пункт проката велосипедов № 218;24;Комсомольский пр-т, д.28 (ст. м. Фрунзенская)
Пункт проката велосипедов № 220;24;ул. Усачева, д.26 (Усачёвский рынок)
Пункт проката велосипедов № 225;24;ул. Красная Пресня, д.25
Пункт проката велосипедов № 255;24;ул. Костикова (2-я Звенигородская ул., д.13, стр.42)
Пункт проката велосипедов № 256;24;Кутузовский пр-т, д.37 (ст. м. Кутузовская)
Пункт проката велосипедов № 316;24;Ленинский пр-т, д.15А
Пункт проката велосипедов № 332;24;ул. Профсоюзная, д.58/32, к.2 (ст. м. Новые Черёмушки, выход №3)
Пункт проката велосипедов № 340;24;ул. Шаболовка, д.32 (ст. м. Шаболовская)
Пункт проката велосипедов № 343;24;ул. Косыгина, д.18, стр.1
Пункт проката велосипедов № 349;24;Университетская пл. (напротив ГЗ МГУ)
Пункт проката велосипедов № 37;24;Чистопрудный б-р (ст. м. Чистые пруды)
Пункт проката велосипедов № 409;24;ул. Долгоруковская, д.20
