Идентификатор,Наименование,Адрес
270831,Экспромт,"Большой Златоустинский переулок, дом 7, строение 1, помещение 1П"
362436,Арабская кухня,"Москва, ул. Авиаконструктора Миля, вл. 5/1"
342923,Азбука крафта,"Нижняя Красносельская улица, дом 35, строение 48, помещение 5А/Ц"
25859,ДжонДжоли,"Николоямская улица, дом 28/60, строение 1"
276105,Cofix,"Никольская улица, дом 10/2, строение 2Б"
309978,Cofix,"Пресненская набережная, дом 4, строение 1, помещение 6П"
372048,ПИТА ХАVYC халяль,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 19"
201567,PETRUSHKA,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, проспект 60-летия Октября, дом 10А"
168731,Coffeedrain,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, проспект 60-летия Октября, дом 25, корпус 1"
368305,Кафе БОРГЕТТО,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Винокурова, дом 4, корпус 1"
313168,Кофе с собой Сoffe,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Гримау, дом 10"
332332,DO BRO coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Дмитрия Ульянова, дом 12, корпус 1"
21486,БУФЕТ ШК. 199,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Дмитрия Ульянова, дом 15, корпус 1"
23843,КАРЛ БАЛЛИНГ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Ивана Бабушкина, дом 17, корпус 1"
23855,КАФАНА Стара Юга,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 15, корпус 1"
258492,Империя пиццы,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Новоалексеевская улица, дом 12, строение 1"
339998,Ком 1989,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 102, корпус 2"
354953,Coffee Way,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 102, строение 27"
