ID,Name,Address
20988,ГУЗ,"город Москва, улица Казакова, дом 15"
24828,Кафе Халяль,"город Москва, 8-я улица Текстильщиков, дом 5, корпус 2"
358126,Scarface,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Красноармейская улица, дом 10, корпус 2"
373052,Кулинариум,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 34/1"
303239,One price coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 27, строение 1"
351220,Каспийка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 24/7, строение 2"
342854,МЯСОЕД STEAK&BRISKET,"город Москва, проспект Вернадского, дом 86В"
363640,Шаурма-выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Стрельбищенский переулок, дом 5"
211210,Милти,"город Москва, Колодезный переулок, дом 3"
353273,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Сущёвская улица, дом 27, строение 1"
72656,KFC,"город Москва, Волгоградский проспект, дом 166, корпус 1"
254675,Timeless,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Благовещенский переулок, дом 1"
151822,Порто Миконос,"город Москва, Сущёвская улица, дом 27, строение 2"
223862,360 BEER,"Российская Федерация, город Москва, внутригородская территория поселение Внуковское, улица Лётчика Ульянина, земельный участок 7"
285157,Promenade Lounge,"город Москва, Ленинградский проспект, дом 36, строение 33"
357858,Stardogs,"город Москва, город Зеленоград, Георгиевский проспект, дом 37, корпус 1"
366460,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Коровий Вал, дом 1А, строение 1"
263391,СТОЛОВАЯ ПРИ ГОУ СОШ № 1145,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, улица Маршала Голованова, дом 9"
29265,Столовая ГОУ 1083,"город Москва, Хвалынский бульвар, дом 4, корпус 4"
281660,Брусника кондитерская кулинария,"город Москва, Мосфильмовская улица, дом 88, корпус 4"
343215,Alibaba doner,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6"
139516,АКАДЕМИЯ,"город Москва, площадь Киевского Вокзала, дом 2"
97526,Бургер Кинг,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 41Б"
226903,"Трубадур, Романтик","Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 2/1, строение 1"
322361,Лаванда,"город Москва, 2-я Квесисская улица, дом 25"
349875,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Милашенкова, дом 14"
27494,Столовая ГБОУшкола № 922,"город Москва, улица Молостовых, дом 10Б"
