ID,IsNetObject
369614,нет
201691,нет
362705,нет
286817,нет
25950,да
27613,нет
356191,нет
367462,нет
357629,да
375852,нет
349060,нет
349274,нет
256733,да
26149,да
156524,нет
265577,нет
343856,нет
303913,нет
119554,нет
317058,нет
294173,нет
108101,нет
221567,нет
29383,нет
356002,нет
343141,нет
274775,нет
353285,нет
144237,нет
279670,нет
77502,да
324535,нет
301749,нет
192766,нет
274965,нет
239016,нет
59268,нет
140691,да
175940,нет
209238,да
305996,нет
350752,да
76582,нет
311203,нет
344293,да
281917,нет
23415,нет
190813,да
178173,да
344514,нет
200533,да
359193,нет
285548,нет
160157,нет
271415,нет
27742,нет
275031,да
286051,нет
370975,да
222224,да
170246,нет
73415,да
229182,нет
354735,нет
153532,нет
363015,нет
356278,нет
327624,нет
29236,нет
189466,нет
357307,нет
81171,нет
27829,нет
370438,нет
160574,нет
284246,нет
368017,нет
137539,нет
283119,нет
310434,нет
302669,нет
351690,нет
359332,нет
181379,да
235216,нет
27200,да
361010,нет
80943,нет
219509,нет
368040,нет
166809,да
268396,нет
364183,нет
82991,нет
157113,нет
23567,нет
373092,нет
223469,нет
149756,нет
305105,нет
325691,нет
374540,нет
76734,нет
263692,нет
298399,нет
229818,нет
170035,да
152119,нет
19965,нет
23313,нет
210046,да
286733,нет
318390,нет
23649,нет
356041,нет
308600,нет
257358,нет
24909,нет
299737,нет
340372,да
338868,нет
52547,нет
313507,нет
28807,нет
373004,нет
374279,нет
343906,нет
27455,нет
24520,нет
257677,нет
170633,нет
276659,нет
309803,нет
198093,да
203783,нет
330617,нет
25977,нет
369947,нет
252702,нет
149900,да
58756,нет
173635,нет
28666,нет
374608,нет
352613,нет
345598,нет
93151,да
342828,нет
73570,нет
23557,нет
367089,нет
372977,нет
293262,нет
157418,да
374714,нет
276368,нет
80944,нет
299316,нет
21983,нет
25980,нет
175927,нет
282846,нет
358696,нет
303713,нет
311206,нет
345923,нет
304205,нет
171049,нет
367794,нет
28697,нет
370327,да
227971,нет
124103,нет
312684,да
29313,нет
141396,нет
27891,нет
238775,нет
331709,нет
190300,нет
288438,нет
157402,да
313442,нет
304592,нет
173348,нет
69546,нет
363705,да
246803,нет
161026,да
22688,нет
352676,нет
375170,нет
195583,нет
215613,нет
186731,нет
168869,да
136821,нет
173642,нет
239228,да
28493,нет
345477,нет
349512,нет
26299,нет
363641,да
345727,нет
359389,нет
169434,нет
252296,нет
274949,нет
129320,да
242629,нет
205311,нет
186862,да
353065,нет
351905,нет
254383,нет
373449,нет
150811,нет
307295,нет
302923,нет
353855,нет
192917,нет
231261,нет
339510,да
350094,да
129966,да
267786,да
20095,нет
305097,нет
358615,нет
359323,нет
204304,да
102195,да
256044,нет
277362,нет
361484,нет
359071,нет
295134,да
374529,нет
28952,нет
29361,нет
345324,нет
70103,нет
254722,нет
193043,нет
344252,да
358516,нет
316513,нет
263436,да
197402,нет
357447,нет
357213,нет
212513,да
360768,нет
359231,нет
223302,нет
266981,нет
360100,нет
358458,нет
28407,нет
194304,нет
326545,нет
295622,нет
227659,нет
223030,нет
189079,нет
254675,нет
110542,нет
28970,нет
192861,нет
210054,нет
371118,нет
314427,да
314837,нет
337686,да
142794,нет
251690,нет
328158,нет
28966,нет
261905,да
347870,нет
362280,нет
145574,нет
301901,да
26218,нет
21291,нет
347722,нет
235260,да
282190,нет
256175,нет
332392,нет
315262,нет
138391,нет
296031,нет
309613,нет
357163,нет
229967,нет
109777,нет
310365,нет
363007,нет
29764,нет
154654,нет
158578,нет
218981,нет
222812,нет
313728,нет
162637,нет
313441,нет
309202,нет
25182,нет
286096,нет
128783,да
349336,нет
194582,да
158247,нет
308581,да
224831,да
337432,нет
305564,нет
348473,нет
308579,да
215843,да
325422,нет
270808,нет
291769,нет
302859,да
23684,нет
26945,да
342210,нет
353161,нет
209095,нет
358200,нет
290536,да
148869,нет
358916,нет
324580,нет
297051,нет
367073,нет
342436,нет
338829,нет
345446,нет
23697,нет
309016,нет
69381,нет
361430,нет
244647,нет
27631,нет
295758,да
23226,нет
354191,нет
338573,нет
255436,да
314568,нет
361061,нет
278249,нет
25629,нет
330714,нет
360420,нет
155730,нет
152764,нет
170649,нет
358155,нет
369021,нет
303301,да
314207,нет
290374,нет
297012,нет
288412,нет
356001,нет
235665,нет
312843,нет
310262,нет
167442,нет
110164,да
373279,да
274887,нет
146457,да
316601,нет
354732,нет
344158,нет
157722,нет
274447,нет
27497,нет
20035,да
75239,да
349955,нет
302702,нет
27317,нет
278103,нет
28671,нет
182968,нет
187112,нет
362547,нет
340994,нет
26544,нет
275282,нет
254386,да
347969,нет
190614,нет
348898,нет
309413,нет
69468,нет
246072,нет
206397,нет
267907,нет
26117,нет
24982,нет
367455,да
175732,нет
149463,нет
280471,нет
169944,нет
286142,да
278819,да
246306,нет
29551,нет
193597,нет
309812,нет
311568,да
279399,нет
138023,нет
84014,нет
154537,да
278151,нет
127609,да
280714,нет
294250,нет
289551,нет
27572,нет
284394,нет
80584,нет
238692,да
81008,да
193309,да
280818,да
366554,нет
136550,нет
349361,да
167761,да
312220,нет
25796,да
304536,нет
282390,нет
254481,да
337832,нет
368180,нет
364848,нет
153715,нет
218995,нет
369225,нет
58505,нет
163228,да
324123,нет
296549,нет
21414,нет
373720,нет
158200,нет
367349,нет
280821,нет
305619,нет
160116,нет
272576,да
351514,нет
272956,нет
