ID,Name,Address,IsNetObject,TypeObject,is_actual
375956,Крошка Картошка,"город Москва, Люблинская улица, дом 169, корпус 2",да,,
375954,Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Сельскохозяйственная улица, дом 37",,,
375834,Донеретто,"город Москва, улица Лестева, дом 6",нет,,
375830,Шаурма,"город Москва, улица Вертолётчиков, дом 2А, корпус 1",,,
375822,Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Кантемировская улица, владение 64",,,
375786,Шаурма,"город Москва, улица Космонавтов, дом 2А",,,
375783,Милти,"город Москва, улица Черняховского, дом 17А",,,
375654,Кебаб хаус,"город Москва, город Московский, Московская улица, дом 3А",да,,
375648,Why not sushi,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Поляны, дом 5А, корпус 2",,,
375629,Кафе «Друзья»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Братеевская улица, дом 10, корпус 1",нет,,
375603,Блю Кост,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Новокузнецкая улица, дом 18, строение 1",нет,,
375591,Gagawa,"город Москва, Каширское шоссе, дом 61Г",нет,,
375581,Фасоль,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Затонная улица, дом 7, корпус 1",нет,,
375554,Brooklyn кофе и выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 4-й Вятский переулок, дом 37",,,
375536,Bodro coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 54/2, строение 1",нет,,
375503,Каша,"город Москва, улица Генерала Белова, дом 28, корпус 2",нет,,
375493,Пицца города,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Южнобутовская улица, дом 117",,,
375472,ISTANBULL doner kebab house,"улица Поляны, дом 5, машино-место 217",нет,,
375459,Gobakery8 пекарня кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Нагатинская улица, дом 9, корпус 1",нет,,
375453,Ресторан Харчо,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Серпуховский Вал, дом 3",,,
375428,Кофе с собой One and double,"город Москва, площадь Джавахарлала Неру, дом 1",нет,,
375396,SHAWARMA BAR,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Минская улица, дом 14-А",,,
375384,Торговая галерея (Суши-Бар),"Российская Федерация, город Москва, внутригородская территория поселение Первомайское, деревня Ивановское, улица Семёна Гордого, дом 7",нет,,
375351,Пекарня.УЗ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 51",,,
375320,Грузинская пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Мерецкова, дом 4",,,
375316,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 16",да,,
375290,Кафе,"город Москва, Кожевническая улица, дом 20А, строение 1",нет,,
375289,Пицца Канноли,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Маломосковская улица, дом 22, строение 1",нет,,
375270,Кофе с собой,"город Москва, Уральская улица, дом 6, корпус 1",,,
375263,DOUGHNUTS & COFFEE,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, владение 1",нет,,
375241,СУШИ & WOK,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 23/16",,,
375228,Ночной Самарканд,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Космонавтов, дом 28",,,
375195,SO FAR KEBAB,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Мясницкая улица, дом 13, строение 2",нет,,
375153,Хлеб с маслом,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, владение 1",нет,,
375150,Кафе Халяль,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 1-я Владимирская улица, дом 21",,,
375119,Stars Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, Щукинская улица, дом 42",,,
375068,Еда с акцентом,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Космонавтов, дом 12",нет,,
375044,Компонент,"город Москва, город Зеленоград, улица Конструктора Гуськова, дом 1, строение 2",,,
375017,Выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 8, корпус 2",нет,,
375002,Шаурма. Халяль,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Яблочкова, дом 21, корпус 3",,,
374945,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Краснопрудная улица, дом 1",да,,
374940,"Суши, роллы, пицца","Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Дорожная улица, дом 13",,,
374919,STARS COFFEE,"город Москва, Правобережная улица, дом 1Б",,,
374817,Кофе с собой «Flower Lab»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Большая Филёвская улица, дом 3, корпус 4",нет,,
374795,Франклинс Бургер,"город Москва, Хорошёвское шоссе, дом 27",,,
374791,Ебидоеби,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Луганская улица, дом 10",нет,,
374784,STARSCOFFEE,"город Москва, улица Арбат, дом 39",нет,,
374781,Бико,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 46",,,
374771,Кафе «Армако»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, улица Клары Цеткин, дом 4, корпус 2",нет,,
374760,Выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловская площадь, дом 8",нет,,
374757,Кофейня «StillCoffe»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 2-я Прядильная улица, дом 4",нет,,
374714,Tutta la Vita,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Большая Ордынка, дом 20, строение 7",нет,,
374697,Пекарня Файх халяль 24,"город Москва, Профсоюзная улица, дом 109, корпус 2",нет,,
374680,Бургеры & Шаурма,"Российская Федерация, город Москва, внутригородская территория поселение Десеновское, квартал № 61, земельный участок 3",,,
374661,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Литвина-Седого, дом 10, строение 2",нет,,
374644,Кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 1А",нет,,
374634,Пицца и Канноли,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Абрамцевская улица, дом 30, строение 6",да,,
374631,«FoodBand» пиццерия,"город Москва, 3-й Силикатный проезд, дом 4, корпус 1, строение 4",,,
374627,Индийская кухня,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, владение 1",нет,,
374622,Sapiens,"город Москва, улица Льва Толстого, дом 16",,,
374614,Кафетерий,"город Москва, Митинская улица, дом 36, корпус 1",нет,,
374582,Кафе-пекарня Santo Pan,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, улица Новинки, дом 1",,,
374581,Мартис пицца,"город Москва, Производственная улица, дом 12, корпус 2",нет,,
374557,Я ем ГОУ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Павелецкая площадь, дом 3",нет,,
374554,Кафе Самарканд,"город Москва, улица Лескова, дом 19А, строение 2",,,
374539,МуМу,"город Москва, Щукинская улица, дом 42",нет,,
374451,Хинкальный дом КИНТО,"город Москва, Варшавское шоссе, дом 91",нет,,
374428,COFFEE & БАР,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 23/16",нет,,
374427,Море лосося,"город Москва, улица Адмирала Макарова, дом 6, строение 13",нет,,
374422,Блины & Пончики,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 23/16",нет,,
374377,Гриль Град,"Российская Федерация, город Москва, внутригородская территория поселение Московский, город Московский, Солнечная улица, земельный участок 4А",,,
374373,One Price Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 62А",,,
374286,"ХлебОК (пекарня, кондитерская, кулинария)","Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 24Г",,,
374283,Японо Хованский,"город Москва, поселение Сосенское, Николо-Хованская улица, дом 28, строение 5",,,
374282,Вьетнамская кухня,"город Москва, Краснобогатырская улица, дом 2, строение 2",нет,,
374226,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6",,,
374155,Coffee Like,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",нет,,
374086,Molte Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 14, корпус 1",нет,,
374079,Sweet Market,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",,,
374077,Му-Му,"город Москва, улица Покрышкина, дом 4",да,,
374075,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Павла Корчагина, дом 11",нет,,
374074,Караоке бар Дружба,"город Москва, Суздальская улица, дом 12А",,,
