,ID
746,375827
727,375333
1475,375168
2204,374921
1300,374676
1659,374501
1516,374275
209,374114
2107,373804
1287,373215
2268,373183
1797,373070
1830,372701
230,372460
822,372315
174,372242
333,372145
1322,371701
1737,371698
1652,371139
2172,371133
1734,371124
857,371042
944,371000
13,370975
686,370781
26,370327
1123,369732
1455,369051
917,368617
560,368607
966,368558
1000,368542
621,368429
973,368045
2038,367930
2132,367918
1238,367898
892,367829
837,367604
1522,367588
2090,367505
1207,367491
1373,367465
69,367455
849,367292
1950,367060
2354,366823
380,366778
1137,366751
1294,366602
1735,366471
816,366134
534,366129
424,365884
467,365862
2301,365790
133,365733
1667,365720
1339,365570
1241,365433
2176,365171
160,364459
1272,364216
29,363705
628,363535
874,363183
1634,363132
846,363044
955,362562
141,362383
95,362283
1826,361978
1344,361645
886,361143
1748,361108
1298,360378
1759,359377
711,359205
1535,358533
1129,358496
1807,358335
1820,357818
536,357420
636,357419
1692,357308
433,357147
561,357136
885,357009
1375,356911
1026,356824
1751,356801
736,356629
367,356583
531,356535
450,356506
1153,356479
1193,356281
1823,356135
1679,355973
1478,355886
1476,355871
1520,355864
124,355598
2287,355292
2232,354975
670,354588
2340,353013
742,352575
1264,351728
880,351370
1643,351199
1982,351025
7,350752
525,350680
602,350207
2118,350206
2031,350096
37,350094
368,349890
167,349791
94,349790
1813,349632
1144,349421
79,349361
302,349359
1221,348873
1289,348659
787,348024
1918,347826
351,347676
801,347655
1542,346965
728,346393
1210,346287
931,346176
190,346171
2182,346026
478,345062
1142,344907
844,344874
8,344293
820,344162
1889,344095
2055,344037
1374,343915
544,343739
2330,343607
1226,343522
144,343511
919,343449
2200,343402
1791,343281
1354,343201
775,342721
342,342670
731,342655
612,342565
98,342504
1084,342503
2081,342310
807,341738
1167,341733
1668,341122
950,340945
1961,340561
242,340549
21,340372
2003,340176
225,339753
759,339470
1481,339110
466,338716
1537,338194
172,337815
1088,337483
962,337458
420,337445
1905,337301
594,331758
879,331756
943,331755
1305,331372
1446,331204
2222,331197
382,331167
1854,331025
503,330850
1923,330763
1258,330383
1898,330142
217,330096
490,329519
1394,329349
1468,328635
158,328536
352,328296
739,328127
243,328023
1065,327990
1399,327575
924,327452
2115,327312
2166,327129
900,327033
1641,326945
475,326909
1325,326862
671,326731
1868,326289
1386,326229
1059,326203
1671,326189
1866,326142
920,325843
297,325774
149,325431
700,325041
608,324741
2163,324070
1685,323694
831,323394
1229,323234
2196,322995
274,322948
1092,322586
169,322362
1120,322249
