Идентификатор,Наименование,Адрес,Выручка 2020,Выручка 2021,Выручка 2022,Дельта по выручке,Число сотрудников 2020,Число сотрудников 2021,Число сотрудников 2022,Дельта по сотрудникам
342920,СИДРОВ ПРОЛИВ (пивной бар),"город Москва, проспект Вернадского, дом 86В",20302399.0,,39959846.0,19657447.0,6.0,11.0,14.0,8.0
374427,Море лосося,"город Москва, улица Адмирала Макарова, дом 6, строение 13",20000135.0,,39484937.0,19484802.0,7.0,,19.0,12.0
360584,"Выпечка, шаурма","Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Домостроительная улица, дом 1, корпус 4",20114682.0,23403344.0,39418028.0,19303346.0,13.0,,11.0,-2.0
344731,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Мерецкова, дом 4",21020009.0,39682516.0,39851594.0,18831585.0,8.0,,10.0,2.0
373914,Кафе,"город Москва, улица Айвазовского, владение 7, строение 1",20663231.0,31079091.0,38834892.0,18171661.0,7.0,16.0,14.0,7.0
306457,Пицца Экспресс,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, улица Металлургов, дом 11",20173252.0,,38162923.0,17989671.0,12.0,9.0,18.0,6.0
362398,МОСБУФЕТ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Пришвина, дом 8, корпус 2",20439382.0,25603931.0,38134109.0,17694727.0,16.0,6.0,15.0,-1.0
208969,Чито Ра,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 30",21712249.0,,39349052.0,17636803.0,16.0,,7.0,-9.0
170938,БДД ПАБ,"город Москва, улица Знаменские Садки, дом 1А",20125790.0,34885734.0,37673505.0,17547715.0,15.0,15.0,14.0,-1.0
303928,Ti Pan Da,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 1, строение 1",21423569.0,25611471.0,38948414.0,17524845.0,17.0,17.0,17.0,0.0
256442,Суши,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 88, корпус 1",22410020.0,30477733.0,39925878.0,17515858.0,15.0,,16.0,1.0
358987,БлинБери,"город Москва, Тверская улица, дом 17",20051920.0,36849006.0,37520591.0,17468671.0,6.0,18.0,18.0,12.0
23678,ВЕЗУВИЙ,"город Москва, Нагатинская улица, дом 25, строение 1",21868778.0,,39311742.0,17442964.0,14.0,10.0,8.0,-6.0
354491,Московские Пышки,"улица Новый Арбат, дом 5, помещение 1Н",20156606.0,38302196.0,37385022.0,17228416.0,11.0,7.0,9.0,-2.0
343431,РЕСТОРАН КИТАЙСКОЙ КУХНИ (Сиань),"город Москва, проспект Вернадского, дом 86В",22184832.0,,39072407.0,16887575.0,7.0,,11.0,4.0
297957,Wine Express,"Большая Никитская улица, дом 22/2, квартира 37",20026533.0,,36821174.0,16794641.0,7.0,,12.0,5.0
310276,Биртайм,"город Москва, Сущёвская улица, дом 19, строение 4",22848995.0,,39635541.0,16786546.0,13.0,9.0,10.0,-3.0
358522,Аленка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Фадеева, дом 4А",20252229.0,24022168.0,37010674.0,16758445.0,15.0,,15.0,0.0
80877,Il Barolo,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Ленинградский проспект, дом 63",20856257.0,,37543700.0,16687443.0,9.0,8.0,17.0,8.0
278535,Тандыр,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Новоалексеевская улица, дом 13",20131726.0,27259689.0,36718548.0,16586822.0,11.0,,15.0,4.0
260160,Столовая на бульваре,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловский бульвар, дом 49",20994589.0,,37579025.0,16584436.0,14.0,19.0,9.0,-5.0
