ID,SeatsCount,ver_ID
345181,0,1
326754,35,2
151037,0,1
277311,11,2
252377,2,1
254895,12,1
83757,15,2
317938,16,1
186950,22,2
286923,145,2
305578,7,2
29381,240,1
164287,20,1
257137,17,2
148115,98,1
172445,45,1
163525,10,1
203786,197,2
20417,55,2
157678,21,1
310652,17,2
288851,20,1
373537,5,1
275631,20,2
252329,7,2
207577,20,1
170633,70,1
310516,7,2
197774,80,2
359001,0,1
340550,11,2
114367,45,2
229710,60,1
197771,5,2
229925,5,2
26829,44,1
213965,15,2
269157,78,1
313441,0,1
192821,75,2
309636,9,2
136250,155,2
372681,5,2
325798,15,2
293867,40,2
156605,25,2
86325,5,1
313728,15,2
287259,21,2
170371,5,2
367604,5,2
74917,145,2
267134,15,2
324321,75,2
374249,20,1
340156,5,2
306147,47,2
203894,15,2
21065,8,2
124526,35,2
21538,305,2
219073,5,2
25835,90,1
152611,25,1
329806,53,2
158488,30,1
330025,45,1
290375,4,1
288549,33,2
227699,30,2
375408,53,2
263767,0,1
309571,15,1
370721,40,2
312090,50,2
346464,25,1
304147,12,1
347235,8,2
214148,5,2
373252,29,2
133821,26,1
170384,4,1
298826,5,2
23307,98,1
125437,24,2
311984,40,1
185692,83,2
366507,10,2
229155,45,1
187928,5,2
316411,16,1
211469,20,2
267039,5,2
284377,21,2
196335,45,2
256164,155,2
165924,30,1
359991,5,2
353037,9,1
350503,5,2
242769,55,2
180681,5,2
23527,85,2
142815,120,1
189085,30,2
310332,5,1
142570,43,2
351746,5,2
283215,6,2
205109,50,2
370473,5,2
138013,10,1
343036,0,1
136626,85,2
345440,32,2
165841,33,2
237818,29,2
316929,7,2
322944,8,1
304140,34,2
182626,55,2
184680,17,2
27624,108,2
21001,16,1
261228,0,1
298101,7,2
173032,50,2
179864,0,1
25451,93,2
20973,225,2
284292,38,1
28428,53,2
253803,10,2
206100,45,2
201345,20,1
206685,20,1
350224,0,1
340241,12,1
149272,20,1
302556,5,2
375473,0,1
21073,11,2
222020,25,2
157858,35,1
20044,160,2
168999,125,2
25385,150,1
171419,31,1
162883,25,1
289147,0,1
161724,220,1
180935,65,2
259253,15,2
357146,25,2
312201,0,1
256310,100,1
171803,50,2
328975,32,1
357135,35,1
153380,48,1
308968,55,1
322218,32,1
341927,36,1
288124,13,2
211368,20,1
213854,4,1
157411,205,2
284898,45,2
358997,11,2
289102,37,2
342162,15,2
307244,35,2
346138,15,2
286215,87,1
159104,45,2
173650,58,1
352681,0,1
292061,30,1
266020,20,1
199081,0,1
25528,44,1
249182,20,1
264860,15,1
324164,0,1
352150,15,2
365649,8,1
368634,9,2
368643,22,1
26273,70,1
369275,23,1
279060,0,1
243781,21,2
26681,146,2
231090,5,2
27399,240,1
183009,15,2
254007,0,1
342917,5,2
272919,205,2
22031,103,2
90406,20,1
229054,9,2
24311,31,2
287205,140,1
189712,20,2
365433,0,1
230297,9,1
338345,12,1
326298,20,1
302664,5,2
181227,55,2
285125,10,2
318972,105,2
173343,0,1
292926,300,1
283745,20,1
328249,10,1
21291,105,2
311083,53,2
156352,60,1
344994,50,2
192848,9,2
307058,17,2
301981,30,1
365016,25,2
310646,9,1
302238,0,1
268165,65,2
296438,77,2
27496,240,1
266020,20,1
347890,32,2
29449,200,1
204604,9,2
23562,85,2
363022,20,1
305988,31,2
77504,50,2
318839,5,2
312028,0,1
28079,10,1
360602,5,2
28278,65,2
313420,4,1
173645,80,2
286892,43,2
368271,11,2
322231,40,1
75287,105,2
294100,96,1
211630,6,2
142615,0,1
140503,25,2
375443,30,1
27522,305,2
158542,33,2
370919,25,2
363147,2,1
365882,2,1
362621,10,2
231953,5,2
366184,0,1
347383,21,2
374987,50,1
152316,125,2
357315,20,2
289086,51,2
355315,5,2
155911,17,1
351811,5,2
327266,12,1
198622,4,1
361514,40,1
73255,90,2
71665,73,2
357820,50,2
259474,8,1
341333,24,1
154280,22,1
28291,86,1
350119,6,1
329063,25,2
198810,15,2
308375,20,1
298394,10,1
325252,18,2
342395,40,2
306309,50,1
310406,15,2
265827,18,2
367815,11,2
23616,140,1
136091,55,2
171642,18,1
372056,15,1
363640,5,2
278358,0,1
368793,11,1
326019,10,1
69782,225,2
345752,6,1
359480,0,1
329261,10,1
350310,13,2
27119,101,2
323215,15,1
255219,19,2
287865,8,1
351677,25,2
351779,37,1
347371,0,1
254675,31,2
373935,41,2
273800,26,2
187202,8,1
353577,45,2
265251,10,1
353769,16,1
20308,26,1
289874,70,1
24409,50,1
362997,9,2
28801,252,1
19841,67,1
28548,80,1
278063,8,1
161611,6,1
107884,40,2
279166,15,2
152335,5,2
23863,155,2
231229,0,1
133155,10,1
140289,48,1
330233,42,1
367609,20,1
151252,48,1
309008,0,1
369499,40,2
197082,20,2
323300,0,1
253938,0,1
128963,50,2
152118,40,1
340792,0,1
365655,40,1
299474,20,2
253819,0,1
357111,0,1
290215,12,1
28796,180,1
23843,90,1
141361,60,1
371105,37,2
128669,42,1
367065,24,1
20119,50,2
305323,10,1
120427,38,1
166684,48,1
309989,30,1
254519,35,1
321744,32,2
297012,0,1
342011,10,1
257993,5,2
350216,7,2
20999,37,2
278972,37,2
316994,15,2
20903,85,2
361802,0,1
151806,24,1
298687,9,2
362441,0,1
325011,13,2
324814,40,1
365272,5,2
312556,35,2
178664,41,2
337391,5,2
289403,8,1
28764,120,1
152923,15,2
166982,65,2
360468,11,2
27402,65,2
352387,0,1
368864,0,1
305685,5,1
311271,23,2
290018,17,1
369051,7,2
275106,75,2
357237,11,2
152620,135,2
329060,25,2
136464,100,1
245613,28,2
362705,20,2
301544,45,2
28548,80,1
277403,6,1
142901,35,2
340483,155,2
352678,38,1
375603,17,2
373055,9,2
356945,5,2
143174,37,2
191795,25,2
266020,20,1
368072,23,2
339659,0,1
253754,9,2
345923,5,1
342676,20,1
359193,0,1
353367,5,1
341444,11,2
275231,0,1
277125,24,1
220978,0,1
341325,53,2
196015,17,2
355222,0,1
373093,21,2
288891,16,2
342655,65,2
310447,36,1
291743,9,1
344256,0,1
282031,5,2
273842,125,2
358783,5,2
339037,50,1
327061,0,1
296549,0,1
328798,35,2
209610,4,1
372977,5,2
150346,50,1
310620,17,2
343103,25,2
315689,30,2
285202,100,1
282310,5,2
342033,0,1
345519,0,1
23682,42,1
234378,12,1
158578,32,1
205825,35,2
356672,1,1
264769,11,2
280322,3,1
172759,10,1
325334,85,2
350224,5,2
23369,55,2
317778,70,1
28291,86,1
170882,30,2
291366,0,1
359438,50,1
28813,205,2
216666,12,1
24310,405,2
359969,25,1
211201,5,2
309450,40,1
208615,16,1
324047,15,2
223558,13,2
365880,6,1
27446,155,2
312808,39,1
270259,25,2
76582,81,2
339159,50,1
369345,0,1
204947,5,2
308147,17,2
356797,5,2
282733,8,2
272053,0,1
373545,4,1
111152,35,1
305184,9,2
193658,50,1
291423,15,1
279733,15,2
326208,24,1
206473,13,2
153796,55,2
242355,200,1
215265,115,2
87588,20,2
243602,30,2
331166,5,2
157662,15,2
290026,13,2
347850,13,1
71742,25,2
26946,125,2
19741,14,1
23592,185,2
152923,15,2
73255,90,2
214899,50,2
294475,30,1
311365,45,1
277384,5,2
27517,52,1
304174,6,1
200039,5,2
352472,14,2
313249,2,1
374001,0,1
281517,35,2
271513,29,2
20823,2,1
247496,20,1
312078,5,2
282190,40,1
345455,16,2
172327,5,2
343101,30,1
230244,10,1
359836,10,2
21134,16,1
28747,225,1
257789,20,1
326404,25,2
340396,54,2
329654,43,2
26220,300,1
23419,232,1
269008,0,1
84148,70,1
310043,17,2
209920,105,2
220209,5,2
344853,30,1
284384,20,1
220051,295,1
372280,35,2
322592,205,2
349189,5,2
187885,34,1
29006,240,1
27852,40,1
301711,25,1
278482,15,2
312509,45,2
338821,0,1
360276,15,1
309730,10,1
370455,10,2
358905,44,1
304147,17,2
21252,35,2
337479,30,2
284122,100,1
375654,60,1
352804,42,1
342556,0,1
295746,36,1
289639,15,1
24309,95,1
197322,14,1
109308,180,1
346456,6,1
302916,11,2
69910,91,2
28968,200,1
224831,0,1
373290,25,2
351166,17,2
344257,75,1
207912,7,2
326553,5,1
26024,35,2
305703,11,2
342037,85,2
282190,40,1
352431,20,1
283518,42,1
157722,29,2
312012,10,2
270302,14,1
219385,8,1
311476,15,2
21609,53,1
359321,5,2
326731,16,2
22211,53,2
245948,15,2
297465,41,1
223806,13,2
28283,24,1
194129,50,2
295803,0,1
317656,12,1
259546,20,1
20473,53,2
304046,6,1
362565,15,2
166881,80,1
72084,100,1
129966,16,1
302228,11,2
303022,51,2
294801,5,2
245200,0,1
143111,70,1
373702,0,1
312167,2,1
267933,50,2
27859,30,1
22644,65,2
305784,8,1
357058,11,1
21388,55,2
104794,35,2
24881,101,2
311578,53,2
304962,5,2
29323,200,1
370742,10,2
351851,51,2
375548,10,1
22006,68,1
272790,4,1
327825,25,2
298709,6,1
204773,30,1
163951,65,2
358998,20,2
27583,245,2
26075,580,1
166777,35,1
170823,0,1
304767,20,2
66234,650,1
318087,58,1
362564,5,2
369352,4,1
152331,20,2
69909,215,1
224434,0,1
191893,40,1
355930,5,2
273492,5,2
306468,5,2
375763,0,1
283565,95,1
307388,0,1
342609,31,2
170280,25,1
363256,20,1
357108,13,2
248490,17,2
364931,6,1
240228,12,1
323309,0,1
360688,10,2
155247,135,2
137317,105,2
302548,25,2
210210,5,2
105439,130,2
305064,0,1
5882,75,2
375830,0,1
356985,35,2
24940,150,1
207167,5,2
21089,6,2
316618,20,2
296778,0,1
292373,9,1
310273,21,2
330233,42,1
80376,80,1
366963,13,2
367049,0,1
351476,0,1
265815,16,1
29172,100,1
357984,0,1
305599,15,2
317085,30,1
368840,5,2
83306,16,1
201668,35,2
79939,125,2
25115,45,1
271469,92,1
304587,28,1
75287,105,2
23457,45,2
363256,20,1
230433,5,2
201723,61,2
283833,15,1
311200,25,2
29390,70,1
337301,5,2
329533,38,2
326019,15,2
172634,20,1
215720,7,1
344935,0,1
283548,0,1
29430,160,1
359480,0,1
349457,30,1
22592,10,1
177545,39,2
243796,6,1
347667,0,1
26525,65,2
211231,0,1
295529,90,1
22421,45,2
310083,5,2
357599,57,2
370610,0,1
73012,252,1
329438,15,2
281035,20,1
313507,15,2
356460,0,1
311269,30,1
293603,0,1
354381,0,1
328650,5,2
202605,4,1
28998,240,1
21065,8,2
319866,5,2
28342,200,1
353769,21,2
141598,40,1
309166,9,2
71523,123,2
315851,13,2
295410,50,2
169221,60,2
331506,21,2
298500,11,2
68255,60,1
369374,2,1
287971,45,1
210662,49,2
363086,5,2
345456,27,1
375244,0,1
129690,20,1
357649,85,2
290431,40,2
29083,145,2
26714,155,2
365866,19,2
136513,85,2
19831,10,1
23706,192,1
273944,15,2
350118,6,1
297578,7,2
242769,55,2
305799,42,1
306549,4,1
360134,5,2
211350,17,2
374673,0,1
357136,95,2
21291,100,1
27607,103,1
102014,5,1
90406,20,1
201514,0,1
297037,15,2
136805,15,1
124534,85,2
23785,82,1
343574,30,1
284244,26,2
270301,20,1
213569,99,2
289574,0,1
197020,55,2
301972,58,1
257343,463,2
354612,45,1
288210,0,1
221055,9,2
362382,1,1
125608,6,1
190207,5,2
283897,15,2
371319,20,1
170080,38,2
189886,35,2
157975,55,1
365016,25,2
24284,100,2
29321,205,2
350125,8,1
325122,8,1
29532,85,2
339484,5,2
355929,0,1
290066,5,2
20792,0,1
344861,10,1
331572,35,2
235815,5,2
185073,5,2
254535,10,2
254535,10,2
313187,35,2
290536,0,1
219135,10,1
290211,30,1
29352,305,2
345686,30,1
304587,33,2
344184,21,1
226042,6,1
26565,98,1
177035,20,1
323127,165,2
260577,55,2
194444,145,2
158087,104,1
154152,60,1
232566,11,2
21182,40,2
20952,140,1
368232,37,2
373543,4,1
344111,25,2
255120,155,2
310332,10,2
180475,80,1
258951,9,2
215102,92,1
140412,20,2
290620,46,1
22651,109,1
343933,0,1
356859,8,1
264610,4,1
372408,13,2
298842,0,1
242304,5,2
319217,15,2
373068,39,2
246771,7,2
374226,0,1
20919,45,2
302500,21,2
183982,24,1
23826,138,1
169391,3,1
362461,15,2
372331,10,2
148152,175,2
263417,10,1
190112,35,2
308923,10,2
316344,25,2
28570,39,2
319053,0,1
365692,18,1
352510,5,2
179893,185,2
20405,30,2
171471,32,1
246635,5,1
263405,120,1
278441,50,1
290270,88,1
229854,5,2
284284,21,2
29093,225,2
145689,18,2
256178,170,2
72398,105,2
71038,300,1
313398,0,1
306046,12,1
173584,20,1
326175,5,2
138015,210,1
208537,50,1
366134,0,1
305172,9,2
307752,40,2
368986,20,1
152405,25,2
348739,45,1
154822,55,2
353668,4,1
364989,13,2
20433,55,2
320943,2,1
29049,245,2
322372,5,2
337301,5,2
206545,42,1
304332,235,2
347850,13,1
28050,130,1
27130,125,2
141324,40,1
369007,3,1
217689,12,1
315704,0,1
374377,55,2
151576,95,1
359116,8,1
23330,41,2
227937,18,1
357399,0,1
359244,13,2
28965,245,2
214824,5,2
330597,23,2
268165,60,1
355822,21,2
179272,0,1
303938,4,1
23266,235,2
304147,17,2
21993,70,1
373302,7,2
25397,55,2
343438,5,2
21434,60,1
312333,2,1
367710,0,1
208615,16,1
204101,5,2
188569,60,1
215133,90,1
297576,7,1
359192,10,1
200759,2,1
307141,13,2
309636,9,2
80904,150,1
26948,155,2
317967,13,2
128669,42,1
331793,0,1
281027,4,1
164876,0,1
263408,40,1
330898,39,2
22279,56,2
284384,20,1
307976,0,1
322469,5,2
307112,25,2
360413,4,1
311546,16,1
315078,10,1
151782,75,2
226419,25,1
170422,40,1
247368,10,1
306897,25,1
213284,11,2
290021,10,2
23213,80,1
342388,7,2
239400,34,1
205311,25,1
288019,25,2
190950,13,2
338688,0,1
136563,135,2
238599,8,1
284134,5,2
74281,45,1
264144,40,2
359471,5,2
25189,55,2
150865,25,2
307441,5,2
315851,8,1
20612,35,2
309368,25,2
284608,10,1
369501,40,2
209065,53,2
210578,17,2
27589,155,2
360481,5,2
358156,25,1
28527,40,2
193796,70,1
348373,30,1
266876,15,2
358072,13,2
140339,200,1
341074,41,2
291543,9,2
324695,92,1
142602,10,2
186122,5,2
364889,13,2
263279,21,2
263893,7,2
180475,85,2
349442,16,2
199935,45,1
375119,45,2
314294,4,1
356606,19,2
266602,155,2
316618,15,1
279662,0,1
362303,8,2
299278,49,1
362657,5,2
256872,90,2
269637,11,2
344831,57,2
213817,11,2
236428,30,2
263532,11,2
228418,55,2
345724,8,1
373052,4,1
276429,6,1
344891,35,2
160917,32,1
29356,120,1
258492,25,2
84148,70,1
374921,45,2
160258,48,1
331840,26,1
288786,0,1
211223,0,1
297465,46,2
148617,16,1
27313,55,2
308923,10,2
21022,25,2
368052,37,2
279366,5,2
250955,35,2
279399,5,2
149105,30,1
343739,40,1
172407,5,2
308623,5,2
280032,45,2
151146,10,2
274523,17,2
20956,129,2
26148,80,1
246628,57,2
293666,0,1
27476,230,1
288784,7,1
20631,60,2
341766,115,2
280718,5,2
322477,50,1
253186,12,2
266108,48,1
311366,59,1
24520,75,2
370159,85,2
290919,10,1
366767,30,1
141704,30,1
