Ид,Наименование,Адрес,Сетевой?,Специализация,КоличМест
372752,ШАУРМА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Дмитрия Ульянова, дом 12, корпус 1",нет,отсутствует,0.0
369518,Чайхана УМИД,"город Москва, Ярцевская улица, дом 34, корпус 2",нет,отсутствует,0.0
367457,Stars Coffee,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,отсутствует,0.0
367328,Чебурешная,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,кафе,0.0
365834,Кофестанция,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Бутырская улица, дом 97",нет,отсутствует,9.0
365655,Буфет-обед,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Новодмитровская улица, дом 5А, строение 2",нет,столовая,40.0
363769,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Бутырская улица, дом 97",,отсутствует,0.0
361230,Столовая ЗВИ,"город Москва, Партийный переулок, дом 1, корпус 58, строение 3",нет,столовая,35.0
361155,Coffee Up & Down,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,отсутствует,0.0
359449,Cofix,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,кафе,0.0
359448,Food box,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,отсутствует,0.0
359444,Белый барашка,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",нет,предприятие быстрого обслуживания,0.0
359439,Pho Street,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,предприятие быстрого обслуживания,0.0
359438,Мята Lounge,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",да,отсутствует,50.0
359437,Gagawa,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",,отсутствует,0.0
359436,Fresh Mango,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",нет,предприятие быстрого обслуживания,5.0
352211,Хлеб и Соль,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",нет,отсутствует,0.0
347921,Mi Casa,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Петровка, дом 23/10, строение 5",нет,отсутствует,51.0
347136,Правда кофе,"город Москва, Дмитровское шоссе, дом 73, строение 1",нет,кафетерий,0.0
342958,СССР,"город Москва, Ленинградский проспект, дом 31А, строение 1",нет,отсутствует,5.0
342464,Вкусно готовая еда,"город Москва, Ленинградский проспект, дом 31А, строение 1",нет,отсутствует,13.0
342445,Ванильное небо,"город Москва, Ленинградский проспект, дом 31А, строение 1",нет,отсутствует,36.0
340525,SUZUMI,"город Москва, Пресненская набережная, дом 2, помещение 176П/2",нет,кафе,0.0
332332,DO BRO coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Дмитрия Ульянова, дом 12, корпус 1",,отсутствует,13.0
330439,Take and wake,"город Москва, Ленинградский проспект, дом 31А, строение 1",,кафетерий,0.0
