ID,TypeObject,is_actual
302619,закусочная,True
28573,столовая,True
373269,кафе,False
29517,столовая,True
368413,кафе,False
331204,предприятие быстрого обслуживания,True
140502,столовая,True
322596,ресторан,False
259641,буфет,True
359397,предприятие быстрого обслуживания,True
25526,кафе,False
363323,предприятие быстрого обслуживания,True
282390,кафе,True
354805,кафе,False
356034,предприятие быстрого обслуживания,False
283313,кафетерий,True
346137,кафе,False
294758,кафе,False
213284,кафе,False
275983,кафетерий,False
312510,столовая,False
269847,кафе,True
23725,предприятие быстрого обслуживания,False
311232,кафе,False
297802,кафе,True
29034,столовая,True
208780,кафе,False
366628,кафе,False
364187,бар,True
356775,кафе,False
267656,предприятие быстрого обслуживания,False
197475,кафе,True
309832,кафе,False
372938,кафетерий,False
162786,ресторан,False
26576,ресторан,True
252459,закусочная,True
29050,столовая,False
353755,предприятие быстрого обслуживания,True
283675,ресторан,True
309450,столовая,True
297265,предприятие быстрого обслуживания,True
325328,кафе,True
298886,ресторан,False
285985,кафе,True
255110,кафе,False
21577,буфет,False
69749,ресторан,False
76914,предприятие быстрого обслуживания,False
273407,предприятие быстрого обслуживания,True
346665,предприятие быстрого обслуживания,False
362975,кафе,True
279887,кафетерий,True
358547,закусочная,True
329985,кафе,False
338821,закусочная,True
58466,кафе,False
353602,кафетерий,True
359980,бар,True
355272,предприятие быстрого обслуживания,False
281738,кафе,True
158718,ресторан,False
358577,кафе,False
197569,бар,True
278819,кафетерий,False
363743,предприятие быстрого обслуживания,False
193094,кафе,False
24863,кафе,True
290244,кафетерий,True
138931,ресторан,False
286501,ресторан,False
158540,кафетерий,False
331170,кафе,True
183287,кафетерий,False
221058,кафе,True
20405,бар,True
362383,предприятие быстрого обслуживания,False
186327,кафетерий,True
29622,столовая,True
257354,столовая,False
373744,кафе,True
28828,столовая,False
340628,кафе,False
27410,столовая,False
346762,кафе,False
354746,предприятие быстрого обслуживания,False
288959,ресторан,True
192951,кафетерий,False
22983,ресторан,True
339268,кафетерий,False
357315,бар,False
177805,кафе,False
29380,столовая,False
153715,бар,False
188971,бар,False
327034,кафе,False
302226,кафе,True
268991,кафе,True
346448,закусочная,False
302091,кафе,True
326404,кафе,True
29428,столовая,False
347009,кафе,False
367972,кафе,True
152405,кафе,False
203810,кафе,False
26142,ресторан,True
318942,магазин (отдел кулинарии),False
274705,магазин (отдел кулинарии),False
270675,бар,False
338925,кафетерий,False
291509,кафе,False
318972,ресторан,False
224102,кафетерий,True
357763,кафе,True
326985,кафе,True
374697,предприятие быстрого обслуживания,False
29234,столовая,False
225766,ресторан,False
308556,кафе,True
228816,кафе,True
302556,кафе,True
170904,кафе,True
296402,кафе,False
262488,ресторан,True
24113,ресторан,False
305044,кафе,True
346870,кафетерий,True
307389,кафе,True
283538,бар,False
337396,кафе,False
349786,кафе,True
304510,кафе,True
369078,предприятие быстрого обслуживания,True
171596,буфет,False
338132,ресторан,False
294913,предприятие быстрого обслуживания,False
322000,магазин (отдел кулинарии),False
82846,ресторан,False
284255,ресторан,True
340243,кафе,True
304128,кафе,True
313935,бар,True
344682,предприятие быстрого обслуживания,False
349632,магазин (отдел кулинарии),True
363086,кафетерий,True
339677,предприятие быстрого обслуживания,False
361499,предприятие быстрого обслуживания,False
310119,предприятие быстрого обслуживания,False
257046,предприятие быстрого обслуживания,True
171451,предприятие быстрого обслуживания,False
288642,кафе,True
299447,предприятие быстрого обслуживания,True
264719,предприятие быстрого обслуживания,False
150897,столовая,True
187775,столовая,False
283942,ресторан,False
23730,столовая,False
375638,кафе,False
371864,ресторан,True
305185,бар,True
264569,магазин (отдел кулинарии),False
273274,кафетерий,False
19788,буфет,False
305039,ресторан,True
286650,кафе,True
27625,столовая,True
213804,ресторан,False
257435,закусочная,False
357321,кафетерий,False
170997,кафе,False
307585,кафе,False
358506,предприятие быстрого обслуживания,False
292086,ресторан,False
329973,предприятие быстрого обслуживания,False
306135,кафе,True
372621,кафетерий,False
325226,магазин (отдел кулинарии),True
352384,бар,True
178858,предприятие быстрого обслуживания,True
294801,закусочная,False
263345,столовая,False
365109,закусочная,False
350727,кафе,True
339817,кафетерий,False
356429,кафе,True
26993,ресторан,False
27092,ресторан,True
154255,предприятие быстрого обслуживания,True
354857,закусочная,True
313760,предприятие быстрого обслуживания,True
29361,столовая,True
316731,кафе,True
244923,кафе,False
350555,ресторан,True
318251,буфет,True
259251,закусочная,True
343514,магазин (отдел кулинарии),True
347344,предприятие быстрого обслуживания,True
75287,кафе,True
166375,кафе,False
24004,ресторан,False
163846,кафетерий,True
362575,кафе,True
295484,кафетерий,False
255130,кафе,True
197631,кафе,True
26271,ресторан,True
206064,кафе,False
29389,столовая,True
327079,бар,False
78177,ресторан,True
21439,столовая,False
246740,кафе,False
200408,кафе,True
20120,кафе,True
350132,ресторан,False
131159,предприятие быстрого обслуживания,True
287200,кафетерий,True
279532,столовая,True
194315,кафетерий,False
346335,кафетерий,True
255414,магазин (отдел кулинарии),True
24701,кафе,False
29464,столовая,True
24935,ресторан,True
307286,предприятие быстрого обслуживания,True
59268,буфет,False
311045,кафе,True
263303,столовая,False
306147,кафе,False
173001,столовая,True
276283,кафетерий,True
295379,ресторан,True
328708,предприятие быстрого обслуживания,True
346661,предприятие быстрого обслуживания,True
252812,кафе,False
136647,бар,False
275240,кафе,True
363677,ресторан,True
308409,кафе,False
185060,кафе,False
217710,кафе,False
170411,предприятие быстрого обслуживания,False
303003,предприятие быстрого обслуживания,False
297893,кафе,False
324239,кафе,False
307058,кафетерий,False
87612,кафетерий,False
284477,ресторан,False
357774,ресторан,True
224742,кафе,False
354444,кафе,True
289486,кафе,False
351194,кафе,True
23505,кафе,False
72676,ресторан,True
338028,столовая,False
21422,буфет,True
20949,буфет,True
325972,кафе,False
271518,ресторан,True
20971,буфет,True
363157,кафе,True
194582,магазин (отдел кулинарии),False
362757,кафе,False
28275,столовая,False
173703,кафе,False
362663,кафетерий,False
285606,кафетерий,False
358607,столовая,False
171049,кафе,False
370327,предприятие быстрого обслуживания,True
207922,кафетерий,False
